Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
J12,Girls in search of a husband.,Iowa,41.5,-94,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=cff4a5440fe443a4a845ccce,https://www.ruthenia.ru/folklore/berezkin/j12.html,"Iowa : Skinner 1925, No. 7 , 33 : 458-461, 493-494"
j12b,Honey groom.,"Yanomamo (Yanoama): Yanomam, Yanomami",2,-64.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=DbwhrMevCEKU28sTFmdE_Q,https://www.ruthenia.ru/folklore/berezkin/j12b.html,No. 130
J13,Two sisters.,Twana (Skokomish),48.1,-123.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=d2fd1f0c01cf80a8ea29e3e0,https://www.ruthenia.ru/folklore/berezkin/j13.html,
J14,The flute player.,Japanese Folklore Outside Of Ryukyu,36,140,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=6b68103ec2a9b93781732c46,https://www.ruthenia.ru/folklore/berezkin/j14.html,
J15,The road to the home of dangerous creatures.,"Napo (Quijo), Kanelo (“Jungle Kechua”)",-2,-76,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7aa5fc075596d00604d96acd,https://www.ruthenia.ru/folklore/berezkin/j15.html,Oberem 1957 (quiho) : 183-184
J15,The road to the home of dangerous creatures.,"Germans: North (Low- And Central German Dialects): Schleswig-Holstein, Mecklenburg, Pommern, Niedersachsen (Lower Saxony, Incl East Frisia And Oldenburg), Nordrhein-Westfalen, Hessen, Rheinland-Pfalz, Thüringen, Saxony-Anhalt, Sachsen, Brandenburg, Rügen",52.5,11,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2be4a143c4810991e2458261,https://www.ruthenia.ru/folklore/berezkin/j15.html,
J15A,Woman among the Jaguars.,"Kuikuro, Kalapalo, Calapalo",-13.5,-54.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=5a3a3138af62360edce1fb88,https://www.ruthenia.ru/folklore/berezkin/j15a.html,
J15A,Woman among the Jaguars.,"Napo (Quijo), Kanelo (“Jungle Kechua”)",-2,-76,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=03293cf8229a3808c0926268,https://www.ruthenia.ru/folklore/berezkin/j15a.html,
J16,Refuses to eat insects.,"Dan (=Gio), Guro (=Kweni, Incl Gagu, Neio), Toura, Mano, Ngere, Beng, Guro",9,-7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=e24e4dc1f34cc94e8355a641,https://www.ruthenia.ru/folklore/berezkin/j16.html,
J16,Refuses to eat insects.,Blackfoot,51,-112.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2d01cc4daa706f97987543c9,https://www.ruthenia.ru/folklore/berezkin/j16.html,"Wissler, Duvall 1908, No. V1 : 138-141"
J16,Refuses to eat insects.,Assiniboine,50,-104.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=694b0238826e59e4085ef99d,https://www.ruthenia.ru/folklore/berezkin/j16.html,
J17,Frogs in the hair.,"Malecite, Passamaquoddy",46.5,-67.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=8wf3a42hz1hzbp6rie75qoch,https://www.ruthenia.ru/folklore/berezkin/j17.html,Passamaquoddy : Leland 1884:38.
J18,A woman falls from the sky.,Pawnee,41,-99,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=c5bef0eb5ec17c95a6d9cf8c,https://www.ruthenia.ru/folklore/berezkin/j18.html,
J18,A woman falls from the sky.,Kiowa,35,-100,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=5b72b915424bfde2ee11b880,https://www.ruthenia.ru/folklore/berezkin/j18.html,Mooney 1898b : 238-239
J18A,"Mother eaten, children flee.","Lisu, Lolo (incl. Bai), Achang, Yi, Axi, Nasu, Jino, Taungyo",26,101,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=a19975a098c3551dd1d18c2b,https://www.ruthenia.ru/folklore/berezkin/j18a.html,
J18A,"Mother eaten, children flee.",Miao (Hmong) And Yao Of Southern China,25,109,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=0aff0461f2d22de3f37d9b38,https://www.ruthenia.ru/folklore/berezkin/j18a.html,
J18A,"Mother eaten, children flee.","Sauk (Sak, Mesquakie), Fox, Kickapoo",42.7,-84,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=68db5bace947fb7f12678a82,https://www.ruthenia.ru/folklore/berezkin/j18a.html,
J19,The sinister guest: the death of a woman.,Crow,47,-109,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2101dc4aab953a36835a3eff,https://www.ruthenia.ru/folklore/berezkin/j19.html,
J21,Birth from eggs.,Karijona,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=jpfgjl03pbcna4p1mq8z790f,https://www.ruthenia.ru/folklore/berezkin/j21.html,"Carijona : Schindler 1979, No. 1:21-43"
J21,Birth from eggs.,"Witoto, Ocaina",-2,-73,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=3c29483ca290dbe1d7e8f5c8,https://www.ruthenia.ru/folklore/berezkin/j21.html,"Preuss 1921, No. 9 : 314-330"
