Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
510A,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=peaUN1ysXEgc6aPuRAPfGXIp,N/A,xmlfiles/eng/trans-203.xml
510A,N/A,Indonesia,0.156,113.965,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=2WvLcwTH1yHdhJkpPxh9asaF,N/A,xmlfiles/lang/lang_lilac-21.xml
510A,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=bkrk2gI1e1Az0Ll5maBvl0i7,N/A,xmlfiles/eng/trans-3292.xml
510A,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=pfm92VMzLDjDPJq19KIPvnsw,N/A,xmlfiles/lang/lang_red-20.xml
510B,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=pzgbdt99bxiChewpV4nvTFAN,N/A,xmlfiles/eng/trans-623.xml
511,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=9c6DH38wm5DBD8VsmeFI4b4y,N/A,xmlfiles/eng/trans-1237.xml
513,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=PiMTqPglHmQlAM59NSVrWv7G,N/A,xmlfiles/eng/trans-677.xml
513,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=fne8LL8bVV2FpDB2N2rTqoEE,N/A,xmlfiles/eng/trans-3308.xml
513,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=CS3sSAN7KHyydsH9uUrMk2KG,N/A,xmlfiles/eng/trans-3438.xml
513,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=oSES20p1fsum5LggJORR0yIe,N/A,xmlfiles/eng/trans-1277.xml
513,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=PBmzMQC8iWSuf96NCoNZH1Jg,N/A,xmlfiles/eng/trans-3426.xml
513,N/A,Slavic Europe,N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=Apkh93SjXmjDUgFD1RPsfP2o,N/A,xmlfiles/lang/lang_grey-35.xml
